Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,22-Aug-22,Person,"20,475",22,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,22-Aug-22,Person,"18,194",22,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,22-Aug-22,Person,"2,820",22,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,22-Aug-22,Person,"81,452",22,Aug,2022
Rail,Provincial ,Public,Train,22-Aug-22,Person,"54,219",22,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,22-Aug-22,Person,"332,722",22,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,22-Aug-22,Person,"44,219",22,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,22-Aug-22,Person,"56,484",22,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,22-Aug-22,Person,"661,572",22,Aug,2022
Rail,Bangkok ,Public, Red Line Train,22-Aug-22,Person,"16,659",22,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,23-Aug-22,Person,"41,921",23,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,23-Aug-22,Person,"4,008",23,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),23-Aug-22,Unit,"737,680",23,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),23-Aug-22,Unit,"904,440",23,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),23-Aug-22,Unit,"1,603,090",23,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),23-Aug-22,Unit,"1,665,162",23,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,23-Aug-22,Person,742,23,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,23-Aug-22,Person,"705,714",23,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),23-Aug-22,Person,"83,200",23,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),23-Aug-22,Person,"211,780",23,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,23-Aug-22,Person,"9,878",23,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,23-Aug-22,Person,"20,435",23,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,23-Aug-22,Person,"19,233",23,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,23-Aug-22,Person,"2,750",23,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,23-Aug-22,Person,"81,731",23,Aug,2022
Rail,Provincial ,Public,Train,23-Aug-22,Person,"49,260",23,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,23-Aug-22,Person,"341,053",23,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,23-Aug-22,Person,"42,691",23,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,23-Aug-22,Person,"57,063",23,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,23-Aug-22,Person,"679,041",23,Aug,2022
Rail,Bangkok ,Public, Red Line Train,23-Aug-22,Person,"16,397",23,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,24-Aug-22,Person,"41,162",24,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,24-Aug-22,Person,"3,556",24,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),24-Aug-22,Unit,"739,157",24,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),24-Aug-22,Unit,"908,122",24,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),24-Aug-22,Unit,"1,631,725",24,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),24-Aug-22,Unit,"1,694,586",24,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,24-Aug-22,Person,963,24,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,24-Aug-22,Person,"696,491",24,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),24-Aug-22,Person,"84,645",24,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),24-Aug-22,Person,"212,177",24,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,24-Aug-22,Person,"10,084",24,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,24-Aug-22,Person,"20,564",24,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,24-Aug-22,Person,"19,292",24,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,24-Aug-22,Person,"2,815",24,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,24-Aug-22,Person,"81,610",24,Aug,2022
Rail,Provincial ,Public,Train,24-Aug-22,Person,"48,116",24,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,24-Aug-22,Person,"348,618",24,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,24-Aug-22,Person,"43,862",24,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,24-Aug-22,Person,"57,087",24,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,24-Aug-22,Person,"678,479",24,Aug,2022
Rail,Bangkok ,Public, Red Line Train,24-Aug-22,Person,"16,355",24,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,25-Aug-22,Person,"40,831",25,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,25-Aug-22,Person,"3,383",25,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),25-Aug-22,Unit,"745,095",25,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),25-Aug-22,Unit,"910,438",25,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),25-Aug-22,Unit,"1,642,964",25,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),25-Aug-22,Unit,"1,706,375",25,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,25-Aug-22,Person,802,25,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,25-Aug-22,Person,"690,276",25,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),25-Aug-22,Person,"82,620",25,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),25-Aug-22,Person,"204,596",25,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,25-Aug-22,Person,"9,942",25,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,25-Aug-22,Person,"20,370",25,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,25-Aug-22,Person,"19,827",25,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,25-Aug-22,Person,"2,762",25,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,25-Aug-22,Person,"82,669",25,Aug,2022
Rail,Provincial ,Public,Train,25-Aug-22,Person,"49,639",25,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,25-Aug-22,Person,"342,220",25,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,25-Aug-22,Person,"43,258",25,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,25-Aug-22,Person,"58,779",25,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,25-Aug-22,Person,"687,627",25,Aug,2022
Rail,Bangkok ,Public, Red Line Train,25-Aug-22,Person,"16,139",25,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,26-Aug-22,Person,"48,920",26,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,26-Aug-22,Person,"3,447",26,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),26-Aug-22,Unit,"801,952",26,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),26-Aug-22,Unit,"978,475",26,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),26-Aug-22,Unit,"1,737,465",26,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),26-Aug-22,Unit,"1,798,824",26,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,26-Aug-22,Person,982,26,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,26-Aug-22,Person,"693,825",26,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),26-Aug-22,Person,"85,025",26,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),26-Aug-22,Person,"215,409",26,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,26-Aug-22,Person,"9,971",26,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,26-Aug-22,Person,"20,421",26,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,26-Aug-22,Person,"19,601",26,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,26-Aug-22,Person,"2,846",26,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,26-Aug-22,Person,"86,807",26,Aug,2022
Rail,Provincial ,Public,Train,26-Aug-22,Person,"59,891",26,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,26-Aug-22,Person,"356,788",26,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,26-Aug-22,Person,"44,435",26,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,26-Aug-22,Person,"65,776",26,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,26-Aug-22,Person,"759,039",26,Aug,2022
Rail,Bangkok ,Public, Red Line Train,26-Aug-22,Person,"19,487",26,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,27-Aug-22,Person,"46,565",27,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,27-Aug-22,Person,"3,764",27,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),27-Aug-22,Unit,"834,497",27,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),27-Aug-22,Unit,"977,861",27,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),27-Aug-22,Unit,"1,490,288",27,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),27-Aug-22,Unit,"1,536,335",27,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,27-Aug-22,Person,501,27,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,27-Aug-22,Person,"550,283",27,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),27-Aug-22,Person,"61,950",27,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),27-Aug-22,Person,"145,163",27,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,27-Aug-22,Person,"4,141",27,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,27-Aug-22,Person,"7,457",27,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,27-Aug-22,Person,"15,877",27,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,27-Aug-22,Person,"1,752",27,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,27-Aug-22,Person,"92,593",27,Aug,2022
Rail,Provincial ,Public,Train,27-Aug-22,Person,"51,517",27,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,27-Aug-22,Person,"234,162",27,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,27-Aug-22,Person,"26,597",27,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,27-Aug-22,Person,"44,604",27,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,27-Aug-22,Person,"538,375",27,Aug,2022
Rail,Bangkok ,Public, Red Line Train,27-Aug-22,Person,"12,414",27,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,28-Aug-22,Person,"46,176",28,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,28-Aug-22,Person,"4,520",28,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),28-Aug-22,Unit,"845,046",28,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),28-Aug-22,Unit,"946,256",28,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),28-Aug-22,Unit,"1,333,735",28,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),28-Aug-22,Unit,"1,358,850",28,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,28-Aug-22,Person,650,28,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,28-Aug-22,Person,"501,952",28,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),28-Aug-22,Person,"62,700",28,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),28-Aug-22,Person,"121,189",28,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,28-Aug-22,Person,"2,011",28,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,28-Aug-22,Person,"4,906",28,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,28-Aug-22,Person,"14,776",28,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,28-Aug-22,Person,"1,726",28,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,28-Aug-22,Person,"99,443",28,Aug,2022
Rail,Provincial ,Public,Train,28-Aug-22,Person,"56,966",28,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,28-Aug-22,Person,"170,508",28,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,28-Aug-22,Person,"20,993",28,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,28-Aug-22,Person,"38,704",28,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,28-Aug-22,Person,"440,034",28,Aug,2022
Rail,Bangkok ,Public, Red Line Train,28-Aug-22,Person,"11,996",28,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,29-Aug-22,Person,"45,424",29,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,29-Aug-22,Person,"4,067",29,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),29-Aug-22,Unit,"775,300",29,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),29-Aug-22,Unit,"929,145",29,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),29-Aug-22,Unit,"1,590,483",29,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),29-Aug-22,Unit,"1,654,510",29,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,29-Aug-22,Person,805,29,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,29-Aug-22,Person,"670,866",29,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),29-Aug-22,Person,"83,385",29,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),29-Aug-22,Person,"208,754",29,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,29-Aug-22,Person,"9,157",29,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,29-Aug-22,Person,"20,649",29,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,29-Aug-22,Person,"18,814",29,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,29-Aug-22,Person,"2,537",29,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,29-Aug-22,Person,"94,318",29,Aug,2022
Rail,Provincial ,Public,Train,29-Aug-22,Person,"51,135",29,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,29-Aug-22,Person,"335,201",29,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,29-Aug-22,Person,"43,222",29,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,29-Aug-22,Person,"60,124",29,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,29-Aug-22,Person,"673,290",29,Aug,2022
Rail,Bangkok ,Public, Red Line Train,29-Aug-22,Person,"17,190",29,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,30-Aug-22,Person,"42,690",30,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,30-Aug-22,Person,"3,488",30,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),30-Aug-22,Unit,"742,421",30,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),30-Aug-22,Unit,"900,899",30,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),30-Aug-22,Unit,"1,645,925",30,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),30-Aug-22,Unit,"1,704,958",30,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,30-Aug-22,Person,878,30,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,30-Aug-22,Person,"710,292",30,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),30-Aug-22,Person,"83,680",30,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),30-Aug-22,Person,"217,621",30,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,30-Aug-22,Person,"10,264",30,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,30-Aug-22,Person,"20,512",30,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,30-Aug-22,Person,"19,205",30,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,30-Aug-22,Person,"2,647",30,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,30-Aug-22,Person,"93,880",30,Aug,2022
Rail,Provincial ,Public,Train,30-Aug-22,Person,"50,876",30,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,30-Aug-22,Person,"344,907",30,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,30-Aug-22,Person,"43,532",30,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,30-Aug-22,Person,"58,972",30,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,30-Aug-22,Person,"702,073",30,Aug,2022
Rail,Bangkok ,Public, Red Line Train,30-Aug-22,Person,"17,209",30,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,31-Aug-22,Person,"43,315",31,Aug,2022
Road ,Provincial ,Public,รถหมวด 3,31-Aug-22,Person,"3,479",31,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),31-Aug-22,Unit,"739,216",31,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),31-Aug-22,Unit,"896,417",31,Aug,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),31-Aug-22,Unit,"1,666,220",31,Aug,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),31-Aug-22,Unit,"1,725,457",31,Aug,2022
Road ,Bangkok ,Public,รถหมวด 4,31-Aug-22,Person,803,31,Aug,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,31-Aug-22,Person,"703,516",31,Aug,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),31-Aug-22,Person,"85,895",31,Aug,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),31-Aug-22,Person,"210,125",31,Aug,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,31-Aug-22,Person,"9,564",31,Aug,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,31-Aug-22,Person,"20,478",31,Aug,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,31-Aug-22,Person,"19,615",31,Aug,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,31-Aug-22,Person,"2,526",31,Aug,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,31-Aug-22,Person,"90,145",31,Aug,2022
Rail,Provincial ,Public,Train,31-Aug-22,Person,"51,442",31,Aug,2022
Rail,Bangkok ,Public,Blue Line MRT,31-Aug-22,Person,"356,493",31,Aug,2022
Rail,Bangkok ,Public,Purple Line MRT,31-Aug-22,Person,"45,463",31,Aug,2022
Rail,Bangkok ,Public,Airport Rail Link,31-Aug-22,Person,"59,984",31,Aug,2022
Rail,Bangkok ,Public,BTS Skytrain,31-Aug-22,Person,"724,657",31,Aug,2022
Rail,Bangkok ,Public, Red Line Train,31-Aug-22,Person,"17,910",31,Aug,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,1-Sep-22,Person,"43,391",1,Sep,2022
Road ,Provincial ,Public,รถหมวด 3,1-Sep-22,Person,"4,166",1,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),1-Sep-22,Unit,"746,184",1,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),1-Sep-22,Unit,"904,730",1,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),1-Sep-22,Unit,"1,661,270",1,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),1-Sep-22,Unit,"1,722,121",1,Sep,2022
Road ,Bangkok ,Public,รถหมวด 4,1-Sep-22,Person,748,1,Sep,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,1-Sep-22,Person,"717,315",1,Sep,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),1-Sep-22,Person,"90,275",1,Sep,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),1-Sep-22,Person,"209,667",1,Sep,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,1-Sep-22,Person,"9,372",1,Sep,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,1-Sep-22,Person,"20,470",1,Sep,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,1-Sep-22,Person,"19,328",1,Sep,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,1-Sep-22,Person,"2,468",1,Sep,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,1-Sep-22,Person,"99,693",1,Sep,2022
Rail,Provincial ,Public,Train,1-Sep-22,Person,"53,607",1,Sep,2022
Rail,Bangkok ,Public,Blue Line MRT,1-Sep-22,Person,"360,982",1,Sep,2022
Rail,Bangkok ,Public,Purple Line MRT,1-Sep-22,Person,"46,268",1,Sep,2022
Rail,Bangkok ,Public,Airport Rail Link,1-Sep-22,Person,"59,829",1,Sep,2022
Rail,Bangkok ,Public,BTS Skytrain,1-Sep-22,Person,"731,599",1,Sep,2022
Rail,Bangkok ,Public, Red Line Train,1-Sep-22,Person,"17,306",1,Sep,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,2-Sep-22,Person,"48,091",2,Sep,2022
Road ,Provincial ,Public,รถหมวด 3,2-Sep-22,Person,"4,282",2,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),2-Sep-22,Unit,"824,622",2,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),2-Sep-22,Unit,"987,975",2,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),2-Sep-22,Unit,"1,780,611",2,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),2-Sep-22,Unit,"1,841,939",2,Sep,2022
Road ,Bangkok ,Public,รถหมวด 4,2-Sep-22,Person,870,2,Sep,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,2-Sep-22,Person,"730,433",2,Sep,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),2-Sep-22,Person,"91,365",2,Sep,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),2-Sep-22,Person,"223,838",2,Sep,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,2-Sep-22,Person,"9,307",2,Sep,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,2-Sep-22,Person,"20,902",2,Sep,2022
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,2-Sep-22,Person,"19,665",2,Sep,2022
Waterway,Bangkok ,Public,เรือไฟฟ้าเจ้าพระยา,2-Sep-22,Person,"2,626",2,Sep,2022
Waterway,Bangkok ,Public,เรือภูมิภาค,2-Sep-22,Person,"100,712",2,Sep,2022
Rail,Provincial ,Public,Train,2-Sep-22,Person,"63,240",2,Sep,2022
Rail,Bangkok ,Public,Blue Line MRT,2-Sep-22,Person,"366,220",2,Sep,2022
Rail,Bangkok ,Public,Purple Line MRT,2-Sep-22,Person,"47,295",2,Sep,2022
Rail,Bangkok ,Public,Airport Rail Link,2-Sep-22,Person,"66,940",2,Sep,2022
Rail,Bangkok ,Public,BTS Skytrain,2-Sep-22,Person,"790,696",2,Sep,2022
Rail,Bangkok ,Public, Red Line Train,2-Sep-22,Person,"19,524",2,Sep,2022
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,3-Sep-22,Person,"46,486",3,Sep,2022
Road ,Provincial ,Public,รถหมวด 3,3-Sep-22,Person,"4,108",3,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),3-Sep-22,Unit,"842,461",3,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),3-Sep-22,Unit,"989,475",3,Sep,2022
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),3-Sep-22,Unit,"1,547,248",3,Sep,2022
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),3-Sep-22,Unit,"1,595,675",3,Sep,2022
Road ,Bangkok ,Public,รถหมวด 4,3-Sep-22,Person,781,3,Sep,2022
Road ,Bangkok ,Public,รถเมล์ ขสมก.,3-Sep-22,Person,"581,115",3,Sep,2022
Road ,Bangkok ,Public,รถร่วม (หมวด 1),3-Sep-22,Person,"64,050",3,Sep,2022
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),3-Sep-22,Person,"151,967",3,Sep,2022
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,3-Sep-22,Person,"7,521",3,Sep,2022
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,3-Sep-22,Person,"4,218",3,Sep,2022
