Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),8-Jan-20,Unit,"893,951",8,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),8-Jan-20,Unit,"1,070,785",8,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),8-Jan-20,Unit,"1,890,145",8,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),8-Jan-20,Unit,"1,965,232",8,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,8-Jan-20,Person,"1,045,365",8,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),8-Jan-20,Person,"537,712",8,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,8-Jan-20,Person,"32,104",8,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,8-Jan-20,Person,"31,342",8,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,8-Jan-20,Person,"190,104",8,Jan,2020
Rail,Provincial ,Public,Train,8-Jan-20,Person,"73,937",8,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,8-Jan-20,Person,"420,426",8,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,8-Jan-20,Person,"51,730",8,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,8-Jan-20,Person,"79,780",8,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,8-Jan-20,Person,"871,000",8,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,9-Jan-20,Person,"139,202",9,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),9-Jan-20,Unit,"890,530",9,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),9-Jan-20,Unit,"1,063,930",9,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),9-Jan-20,Unit,"1,894,221",9,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),9-Jan-20,Unit,"1,970,109",9,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,9-Jan-20,Person,"1,034,536",9,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),9-Jan-20,Person,"524,856",9,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,9-Jan-20,Person,"32,202",9,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,9-Jan-20,Person,"31,223",9,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,9-Jan-20,Person,"199,714",9,Jan,2020
Rail,Provincial ,Public,Train,9-Jan-20,Person,"76,380",9,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,9-Jan-20,Person,"425,259",9,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,9-Jan-20,Person,"51,732",9,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,9-Jan-20,Person,"80,928",9,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,9-Jan-20,Person,"891,600",9,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,10-Jan-20,Person,"155,553",10,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),10-Jan-20,Unit,"970,028",10,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),10-Jan-20,Unit,"1,152,165",10,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),10-Jan-20,Unit,"1,647,262",10,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),10-Jan-20,Unit,"1,705,708",10,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,10-Jan-20,Person,"1,034,733",10,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),10-Jan-20,Person,"537,070",10,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,10-Jan-20,Person,"31,130",10,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,10-Jan-20,Person,"31,239",10,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,10-Jan-20,Person,"217,914",10,Jan,2020
Rail,Provincial ,Public,Train,10-Jan-20,Person,"92,756",10,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,10-Jan-20,Person,"446,654",10,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,10-Jan-20,Person,"53,910",10,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,10-Jan-20,Person,"86,808",10,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,10-Jan-20,Person,"950,300",10,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,11-Jan-20,Person,"150,419",11,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),11-Jan-20,Unit,"953,924",11,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),11-Jan-20,Unit,"1,126,847",11,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),11-Jan-20,Unit,"1,455,535",11,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),11-Jan-20,Unit,"1,505,193",11,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,11-Jan-20,Person,"839,636",11,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),11-Jan-20,Person,"532,710",11,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,11-Jan-20,Person,"19,269",11,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,11-Jan-20,Person,"12,032",11,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,11-Jan-20,Person,"212,466",11,Jan,2020
Rail,Provincial ,Public,Train,11-Jan-20,Person,"88,580",11,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,11-Jan-20,Person,"304,673",11,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,11-Jan-20,Person,"36,728",11,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,11-Jan-20,Person,"64,336",11,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,11-Jan-20,Person,"698,600",11,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,12-Jan-20,Person,"156,634",12,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),12-Jan-20,Unit,"960,443",12,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),12-Jan-20,Unit,"1,085,668",12,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),12-Jan-20,Unit,"1,300,343",12,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),12-Jan-20,Unit,"1,326,028",12,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,12-Jan-20,Person,"814,790",12,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),12-Jan-20,Person,"539,812",12,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,12-Jan-20,Person,"17,724",12,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,12-Jan-20,Person,"10,326",12,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,12-Jan-20,Person,"217,975",12,Jan,2020
Rail,Provincial ,Public,Train,12-Jan-20,Person,"90,779",12,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,12-Jan-20,Person,"257,517",12,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,12-Jan-20,Person,"27,278",12,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,12-Jan-20,Person,"58,377",12,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,12-Jan-20,Person,"554,100",12,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,13-Jan-20,Person,"143,982",13,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),13-Jan-20,Unit,"909,881",13,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),13-Jan-20,Unit,"1,081,571",13,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),13-Jan-20,Unit,"1,646,257",13,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),13-Jan-20,Unit,"1,702,309",13,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,13-Jan-20,Person,"1,005,668",13,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),13-Jan-20,Person,"533,956",13,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,13-Jan-20,Person,"32,353",13,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,13-Jan-20,Person,"32,856",13,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,13-Jan-20,Person,"211,281",13,Jan,2020
Rail,Provincial ,Public,Train,13-Jan-20,Person,"80,574",13,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,13-Jan-20,Person,"405,611",13,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,13-Jan-20,Person,"52,439",13,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,13-Jan-20,Person,"82,678",13,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,13-Jan-20,Person,"858,200",13,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,14-Jan-20,Person,"138,215",14,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),14-Jan-20,Unit,"858,725",14,Jan,2020
